[06/15/20 17:10:19] Frame : 40  Loop : 40
[06/15/20 17:10:20] Frame : 53  Loop : 53
[06/15/20 17:10:21] Frame : 125  Loop : 125
[06/15/20 17:10:22] Frame : 82  Loop : 82
[06/15/20 17:10:23] Frame : 53  Loop : 53
[06/15/20 17:10:44] Server Open OK # Port:20000
[06/15/20 17:10:46] Frame : 26  Loop : 22495
[06/15/20 17:10:50] Frame : 22  Loop : 10099
[06/15/20 17:10:51] Frame : 29  Loop : 3910
[06/15/20 17:10:53] Frame : 26  Loop : 16111
[06/15/20 17:11:20] Frame : 26  Loop : 20870
[06/15/20 17:11:22] Frame : 26  Loop : 21589
[06/15/20 17:11:27] Connect Session # IP:192.168.10.7 / SessionID:1 
[06/15/20 17:11:34] Connect Session # IP:192.168.10.7 / SessionID:2 
[06/15/20 17:11:35] Frame : 24  Loop : 7658
[06/15/20 17:11:36] Frame : 26  Loop : 3633
[06/15/20 17:11:37] Frame : 20  Loop : 24
[06/15/20 17:11:39] Frame : 29  Loop : 29
[06/15/20 17:11:40] Frame : 19  Loop : 19
[06/15/20 17:11:41] Frame : 20  Loop : 20
[06/15/20 17:11:43] Frame : 33  Loop : 33
[06/15/20 17:11:43] Connect Session # IP:192.168.10.7 / SessionID:3 
[06/15/20 17:11:48] Frame : 31  Loop : 31
[06/15/20 17:11:48] Frame : 1  Loop : 1
[06/15/20 17:11:49] Frame : 34  Loop : 34
[06/15/20 17:11:50] Frame : 37  Loop : 37
[06/15/20 17:11:52] Frame : 46  Loop : 46
[06/15/20 17:11:53] Frame : 11  Loop : 11
[06/15/20 17:11:54] Frame : 23  Loop : 23
[06/15/20 17:11:55] Frame : 53  Loop : 53
[06/15/20 17:11:56] Frame : 9  Loop : 9
[06/15/20 17:11:57] Frame : 92  Loop : 92
[06/15/20 17:11:58] Frame : 16  Loop : 16
[06/15/20 17:12:02] Frame : 30  Loop : 30
[06/15/20 17:12:03] Frame : 17  Loop : 17
[06/15/20 17:12:04] Frame : 20  Loop : 20
[06/15/20 17:12:05] Frame : 22  Loop : 22
[06/15/20 17:12:06] Frame : 15  Loop : 15
[06/15/20 17:12:07] Frame : 47  Loop : 47
[06/15/20 17:12:08] Frame : 12  Loop : 12
[06/15/20 17:12:09] Frame : 20  Loop : 20
[06/15/20 17:12:21] Frame : 30  Loop : 30
[06/15/20 17:12:21] Frame : 1  Loop : 1
[06/15/20 17:12:22] Frame : 20  Loop : 20
